FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
48293,Limestone County,TX,45.7,18276.0
06079,San Luis Obispo County,CA,66.9,233612.0
47009,Blount County,TN,61.2,106566.0
28145,Union County,MS,49.5,21595.0
48309,McLennan County,TX,63.3,193711.0
21197,Powell County,KY,64.3,9410.0
29015,Benton County,MO,56.0,16074.0
51750,Radford city,VA,38.4,15961.0
05021,Clay County,AR,54.6,11465.0
48183,Gregg County,TX,56.3,92074.0
28039,George County,MS,52.7,18022.0
47053,Gibson County,TN,57.8,37332.0
55129,Washburn County,WI,73.7,12758.0
41049,Morrow County,OR,69.4,8421.0
18059,Hancock County,IN,78.9,59938.0
16017,Bonner County,ID,51.0,36726.0
39119,Muskingum County,OH,59.3,66777.0
33005,Cheshire County,NH,70.8,62566.0
46049,Faulk County,SD,69.3,1708.0
19007,Appanoose County,IA,58.3,9621.0
26151,Sanilac County,MI,52.1,32362.0
19109,Kossuth County,IA,63.5,11554.0
26043,Dickinson County,MI,79.1,20178.0
22047,Iberville Parish,LA,65.1,25906.0
19089,Howard County,IA,64.6,6875.0
29019,Boone County,MO,69.8,143733.0
39055,Geauga County,OH,72.0,72542.0
42021,Cambria County,PA,65.4,105298.0
37113,Macon County,NC,69.4,29260.0
46079,Lake County,SD,58.6,10220.0
39151,Stark County,OH,64.4,291682.0
08111,San Juan County,CO,95.0,637.0
27065,Kanabec County,MN,50.0,12837.0
28049,Hinds County,MS,68.3,176521.0
42005,Armstrong County,PA,70.1,52371.0
23023,Sagadahoc County,ME,89.0,29040.0
24017,Charles County,MD,81.2,124396.0
35053,Socorro County,NM,79.0,12945.0
18175,Washington County,IN,49.1,21578.0
31107,Knox County,NE,61.0,6305.0
29141,Morgan County,MO,46.7,15851.0
31009,Blaine County,NE,30.6,379.0
51073,Gloucester County,VA,72.7,29902.0
26107,Mecosta County,MI,48.8,35416.0
06017,El Dorado County,CA,71.0,154742.0
48457,Tyler County,TX,44.1,17499.0
13201,Miller County,GA,66.6,4410.0
40069,Johnston County,OK,53.3,8428.0
13183,Long County,GA,27.0,14239.0
18157,Tippecanoe County,IN,66.7,155406.0
27099,Mower County,MN,73.6,30015.0
02050,Bethel Census Area,AK,80.9,11848.0
55081,Monroe County,WI,65.7,34583.0
17125,Mason County,IL,63.6,10570.0
46019,Butte County,SD,51.0,7850.0
28047,Harrison County,MS,67.6,158574.0
20193,Thomas County,KS,51.4,5952.0
08105,Rio Grande County,CO,74.0,8747.0
37181,Vance County,NC,68.9,34092.0
39093,Lorain County,OH,73.7,242329.0
16027,Canyon County,ID,58.1,165731.0
12109,St. Johns County,FL,80.4,207481.0
45047,Greenwood County,SC,58.4,54832.0
46115,Spink County,SD,63.5,4909.0
17067,Hancock County,IL,56.3,14009.0
51680,Lynchburg city,VA,36.2,66239.0
37017,Bladen County,NC,73.0,26077.0
37153,Richmond County,NC,58.7,34516.0
17145,Perry County,IL,60.6,16866.0
37029,Camden County,NC,75.5,8407.0
49043,Summit County,UT,95.0,32042.0
04007,Gila County,AZ,68.2,43364.0
47139,Polk County,TN,49.6,13617.0
45081,Saluda County,SC,36.6,16103.0
12111,St. Lucie County,FL,67.7,264186.0
01045,Dale County,AL,59.1,37984.0
40037,Creek County,OK,53.7,54753.0
18017,Cass County,IN,55.6,29067.0
18121,Parke County,IN,48.9,13277.0
12021,Collier County,FL,80.1,320147.0
30083,Richland County,MT,50.8,8107.0
31089,Holt County,NE,53.1,7520.0
51001,Accomack County,VA,86.1,25626.0
35005,Chaves County,NM,55.3,47845.0
48073,Cherokee County,TX,50.0,39319.0
37061,Duplin County,NC,54.6,44760.0
12127,Volusia County,FL,68.4,456508.0
53031,Jefferson County,WA,82.5,28433.0
48409,San Patricio County,TX,69.2,49132.0
28009,Benton County,MS,62.4,6498.0
19185,Wayne County,IA,53.6,4836.0
31153,Sarpy County,NE,77.0,136263.0
51169,Scott County,VA,65.7,17723.0
48169,Garza County,TX,61.9,5187.0
46003,Aurora County,SD,66.9,2069.0
41067,Washington County,OR,84.9,466437.0
19181,Warren County,IA,70.8,38790.0
30039,Granite County,MT,42.0,2886.0
17123,Marshall County,IL,67.0,9119.0
17063,Grundy County,IL,69.1,38268.0
41009,Columbia County,OR,71.0,41479.0
55139,Winnebago County,WI,69.6,136902.0
26123,Newaygo County,MI,54.4,38030.0
72079,Lajas Municipio,PR,82.5,18342.0
40059,Harper County,OK,56.0,2745.0
28091,Marion County,MS,56.1,18960.0
51099,King George County,VA,51.4,20246.0
42055,Franklin County,PA,59.0,120801.0
48283,La Salle County,TX,72.9,6038.0
31011,Boone County,NE,61.3,3989.0
12101,Pasco County,FL,68.1,441832.0
53041,Lewis County,WA,60.8,63499.0
31167,Stanton County,NE,35.5,4477.0
02290,Yukon-Koyukuk Census Area,AK,89.8,3771.0
40153,Woodward County,OK,47.5,15345.0
55107,Rusk County,WI,49.0,11295.0
30073,Pondera County,MT,65.6,4478.0
72007,Aguas Buenas Municipio,PR,83.1,20374.0
56007,Carbon County,WY,56.9,11438.0
51510,Alexandria city,VA,71.0,130736.0
55135,Waupaca County,WI,63.9,40690.0
16025,Camas County,ID,52.9,862.0
27147,Steele County,MN,71.7,27631.0
18119,Owen County,IN,50.7,16487.0
40089,McCurtain County,OK,46.3,24563.0
18149,Starke County,IN,45.9,17811.0
29213,Taney County,MO,48.1,44243.0
13083,Dade County,GA,54.0,13028.0
39043,Erie County,OH,70.0,59282.0
48191,Hall County,TX,54.0,2308.0
29207,Stoddard County,MO,48.8,22705.0
18083,Knox County,IN,59.4,28776.0
08115,Sedgwick County,CO,62.0,1808.0
21033,Caldwell County,KY,64.2,9890.0
20155,Reno County,KS,60.0,48216.0
39143,Sandusky County,OH,63.7,45583.0
35009,Curry County,NM,67.8,36140.0
01105,Perry County,AL,57.1,7056.0
19001,Adair County,IA,58.7,5593.0
12017,Citrus County,FL,64.2,127662.0
47119,Maury County,TN,77.0,73954.0
31061,Franklin County,NE,45.9,2383.0
19117,Lucas County,IA,56.2,6640.0
20183,Smith County,KS,54.0,2841.0
13095,Dougherty County,GA,59.3,67169.0
55067,Langlade County,WI,63.7,15448.0
17191,Wayne County,IL,48.2,12564.0
19021,Buena Vista County,IA,85.0,14570.0
49049,Utah County,UT,72.5,426950.0
42115,Susquehanna County,PA,53.9,32891.0
51720,Norton city,VA,39.9,3121.0
18031,Decatur County,IN,59.9,20235.0
16063,Lincoln County,ID,52.9,3898.0
19107,Keokuk County,IA,58.1,7884.0
28133,Sunflower County,MS,62.6,19671.0
18003,Allen County,IN,64.3,282345.0
29185,St. Clair County,MO,41.2,7540.0
47005,Benton County,TN,53.5,12951.0
48231,Hunt County,TX,52.6,75098.0
46119,Sully County,SD,53.6,1094.0
27017,Carlton County,MN,74.2,27883.0
42105,Potter County,PA,45.0,13183.0
31081,Hamilton County,NE,55.2,7073.0
53007,Chelan County,WA,82.4,59294.0
29131,Miller County,MO,41.6,19614.0
21135,Lewis County,KY,47.4,10366.0
49035,Salt Lake County,UT,82.1,851292.0
55137,Waushara County,WI,51.9,19983.0
17055,Franklin County,IL,54.7,29993.0
41051,Multnomah County,OR,87.2,663187.0
24003,Anne Arundel County,MD,86.4,450317.0
55007,Bayfield County,WI,92.3,12431.0
29049,Clinton County,MO,56.8,15648.0
38079,Rolette County,ND,85.4,9401.0
21099,Hart County,KY,45.0,14360.0
21207,Russell County,KY,56.2,13863.0
40017,Canadian County,OK,70.9,109752.0
46063,Harding County,SD,24.5,988.0
18173,Warrick County,IN,74.0,48228.0
53069,Wahkiakum County,WA,56.2,3720.0
18135,Randolph County,IN,56.3,19105.0
48035,Bosque County,TX,57.4,14755.0
37015,Bertie County,NC,60.4,15647.0
21179,Nelson County,KY,62.5,35392.0
26125,Oakland County,MI,76.3,997704.0
18019,Clark County,IN,71.1,91874.0
42061,Huntingdon County,PA,60.0,37218.0
53015,Cowlitz County,WA,70.5,85425.0
26145,Saginaw County,MI,63.1,149676.0
48057,Calhoun County,TX,70.2,16194.0
46073,Jerauld County,SD,63.4,1539.0
22029,Concordia Parish,LA,53.1,14697.0
13251,Screven County,GA,57.7,11008.0
25011,Franklin County,MA,74.7,58196.0
42121,Venango County,PA,53.5,40992.0
55027,Dodge County,WI,60.3,70666.0
42079,Luzerne County,PA,73.4,254741.0
36089,St. Lawrence County,NY,68.5,86105.0
13125,Glascock County,GA,41.2,2328.0
25003,Berkshire County,MA,62.3,104096.0
02240,Southeast Fairbanks Census Area,AK,50.8,5175.0
17107,Logan County,IL,62.4,23117.0
26053,Gogebic County,MI,73.8,11633.0
51840,Winchester city,VA,52.2,21768.0
37097,Iredell County,NC,63.4,140623.0
27131,Rice County,MN,72.0,52435.0
05033,Crawford County,AR,55.3,47861.0
35031,McKinley County,NM,95.0,51282.0
48399,Runnels County,TX,55.1,7885.0
39091,Logan County,OH,53.3,35139.0
51053,Dinwiddie County,VA,56.8,22866.0
26013,Baraga County,MI,71.3,6811.0
37195,Wilson County,NC,64.8,63224.0
32019,Lyon County,NV,50.3,45184.0
38089,Stark County,ND,47.2,22941.0
72015,Arroyo Municipio,PR,82.6,13759.0
55005,Barron County,WI,63.9,35535.0
13161,Jeff Davis County,GA,40.2,11177.0
48065,Carson County,TX,47.5,4540.0
13121,Fulton County,GA,64.7,835904.0
50015,Lamoille County,VT,69.7,20248.0
26031,Cheboygan County,MI,64.1,21172.0
29215,Texas County,MO,39.9,19996.0
48417,Shackelford County,TX,47.4,2519.0
25009,Essex County,MA,82.5,622395.0
17187,Warren County,IL,58.9,13220.0
06101,Sutter County,CA,74.0,71995.0
30015,Chouteau County,MT,39.0,4369.0
29145,Newton County,MO,31.8,44498.0
46025,Clark County,SD,66.8,2731.0
12033,Escambia County,FL,67.0,252085.0
54043,Lincoln County,WV,59.9,15872.0
05129,Searcy County,AR,46.5,6342.0
20161,Riley County,KS,41.7,62113.0
18171,Warren County,IN,55.4,6429.0
17021,Christian County,IL,58.4,25804.0
40067,Jefferson County,OK,53.6,4551.0
38007,Billings County,ND,26.1,735.0
22025,Catahoula Parish,LA,49.1,7482.0
21057,Cumberland County,KY,53.9,5226.0
17195,Whiteside County,IL,68.4,43090.0
37189,Watauga County,NC,59.9,49022.0
29075,Gentry County,MO,54.6,4924.0
12105,Polk County,FL,67.8,565542.0
23001,Androscoggin County,ME,81.0,84964.0
38017,Cass County,ND,69.7,140954.0
34025,Monmouth County,NJ,79.0,489383.0
46129,Walworth County,SD,60.4,4169.0
54049,Marion County,WV,65.8,44850.0
28079,Leake County,MS,59.5,16984.0
44003,Kent County,RI,86.9,133690.0
51115,Mathews County,VA,69.2,7455.0
17167,Sangamon County,IL,74.4,151706.0
31185,York County,NE,63.1,10502.0
48147,Fannin County,TX,54.6,28000.0
13211,Morgan County,GA,55.7,14938.0
19081,Hancock County,IA,60.2,8293.0
12103,Pinellas County,FL,72.7,819951.0
05051,Garland County,AR,52.5,79575.0
21235,Whitley County,KY,55.9,27093.0
22065,Madison Parish,LA,55.6,8347.0
38041,Hettinger County,ND,51.3,1871.0
27037,Dakota County,MN,79.2,324966.0
12121,Suwannee County,FL,46.2,35076.0
72011,Anasco Municipio,PR,80.0,21755.0
13189,McDuffie County,GA,56.7,16012.0
31123,Morrill County,NE,43.7,3605.0
51111,Lunenburg County,VA,57.6,9892.0
29057,Dade County,MO,52.5,5992.0
30105,Valley County,MT,57.2,5726.0
12029,Dixie County,FL,40.8,13753.0
17137,Morgan County,IL,62.7,27272.0
19125,Marion County,IA,64.3,25432.0
26119,Montmorency County,MI,62.1,7948.0
48155,Foard County,TX,53.6,924.0
37163,Sampson County,NC,64.1,48081.0
41017,Deschutes County,OR,78.0,158560.0
22105,Tangipahoa Parish,LA,57.6,101940.0
41065,Wasco County,OR,76.7,20789.0
53045,Mason County,WA,70.5,53764.0
26137,Otsego County,MI,66.2,19545.0
20031,Coffey County,KS,64.6,6392.0
42023,Cameron County,PA,63.8,3661.0
45073,Oconee County,SC,53.4,63765.0
35001,Bernalillo County,NM,79.5,534057.0
27061,Itasca County,MN,65.7,35785.0
40115,Ottawa County,OK,49.2,23449.0
72019,Barranquitas Municipio,PR,86.9,21866.0
22017,Caddo Parish,LA,58.8,183879.0
48027,Bell County,TX,76.2,262932.0
29025,Caldwell County,MO,48.1,6923.0
22005,Ascension Parish,LA,62.8,92983.0
19075,Grundy County,IA,73.4,9460.0
40005,Atoka County,OK,45.4,10671.0
16037,Custer County,ID,54.3,3574.0
53013,Columbia County,WA,53.5,3269.0
49007,Carbon County,UT,61.1,15219.0
48113,Dallas County,TX,72.8,1955160.0
41003,Benton County,OR,80.6,78040.0
51035,Carroll County,VA,38.7,24490.0
06073,San Diego County,CA,85.7,2623534.0
