FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
51820,Waynesboro city,VA,53.0,17265.0
12027,DeSoto County,FL,51.7,30849.0
40091,McIntosh County,OK,63.3,15756.0
37003,Alexander County,NC,52.7,30040.0
06051,Mono County,CA,0.0,11875.0
27001,Aitkin County,MN,65.5,13268.0
40015,Caddo County,OK,76.8,21606.0
48399,Runnels County,TX,54.0,7885.0
18041,Fayette County,IN,47.2,18107.0
37083,Halifax County,NC,62.0,39391.0
48063,Camp County,TX,49.3,9646.0
16021,Boundary County,ID,42.2,9429.0
55067,Langlade County,WI,62.4,15448.0
39135,Preble County,OH,51.7,31799.0
17137,Morgan County,IL,61.6,27272.0
48007,Aransas County,TX,64.9,19341.0
38001,Adams County,ND,57.5,1789.0
55015,Calumet County,WI,64.6,38423.0
01053,Escambia County,AL,43.7,28407.0
29003,Andrew County,MO,45.4,13653.0
27125,Red Lake County,MN,66.6,3077.0
55139,Winnebago County,WI,67.8,136902.0
29211,Sullivan County,MO,51.5,4725.0
20117,Marshall County,KS,76.4,7363.0
06033,Lake County,CA,68.7,50758.0
31091,Hooker County,NE,50.5,539.0
46101,Moody County,SD,58.7,4831.0
42087,Mifflin County,PA,59.4,35902.0
20051,Ellis County,KS,57.0,22516.0
72085,Las Piedras Municipio,PR,75.1,30121.0
22061,Lincoln Parish,LA,49.2,37430.0
30097,Sweet Grass County,MT,47.8,2972.0
51735,Poquoson city,VA,0.0,9524.0
48339,Montgomery County,TX,64.1,448951.0
47015,Cannon County,TN,38.6,11528.0
46031,Corson County,SD,51.3,2592.0
47171,Unicoi County,TN,61.9,14568.0
22099,St. Martin Parish,LA,47.8,40686.0
53067,Thurston County,WA,75.0,228828.0
20027,Clay County,KS,70.7,6132.0
18005,Bartholomew County,IN,69.0,63900.0
18083,Knox County,IN,58.3,28776.0
36101,Steuben County,NY,67.4,75107.0
13107,Emanuel County,GA,49.6,17032.0
21121,Knox County,KY,44.0,23951.0
22041,Franklin Parish,LA,46.0,14951.0
55089,Ozaukee County,WI,79.0,70271.0
44005,Newport County,RI,78.5,68392.0
17077,Jackson County,IL,57.9,46322.0
29075,Gentry County,MO,53.4,4924.0
22117,Washington Parish,LA,50.6,35181.0
53043,Lincoln County,WA,65.3,8561.0
31183,Wheeler County,NE,36.0,633.0
29029,Camden County,MO,51.8,38231.0
50021,Rutland County,VT,75.4,47973.0
28157,Wilkinson County,MS,72.9,6836.0
47007,Bledsoe County,TN,40.2,12876.0
36111,Ulster County,NY,78.0,146629.0
48209,Hays County,TX,69.7,177577.0
38057,Mercer County,ND,47.8,6289.0
06081,San Mateo County,CA,89.0,611410.0
29061,Daviess County,MO,40.6,6177.0
31075,Grant County,NE,24.7,469.0
39155,Trumbull County,OH,62.9,157776.0
16065,Madison County,ID,66.5,29212.0
48351,Newton County,TX,29.6,10929.0
05143,Washington County,AR,62.1,181437.0
48087,Collingsworth County,TX,41.9,2190.0
06101,Sutter County,CA,71.7,71995.0
38079,Rolette County,ND,80.7,9401.0
22013,Bienville Parish,LA,58.4,10299.0
28097,Montgomery County,MS,65.4,7594.0
47023,Chester County,TN,42.1,13528.0
31147,Richardson County,NE,60.0,6181.0
23021,Piscataquis County,ME,68.3,13973.0
48289,Leon County,TX,43.6,13514.0
20183,Smith County,KS,53.0,2841.0
04009,Graham County,AZ,75.1,28485.0
72147,Vieques Municipio,PR,84.4,6844.0
56037,Sweetwater County,WY,59.7,31375.0
55005,Barron County,WI,62.5,35535.0
13285,Troup County,GA,44.1,52959.0
26013,Baraga County,MI,68.7,6811.0
13109,Evans County,GA,50.8,7842.0
41047,Marion County,OR,72.6,263189.0
04007,Gila County,AZ,66.3,43364.0
42105,Potter County,PA,43.1,13183.0
48431,Sterling County,TX,50.7,923.0
44003,Kent County,RI,85.0,133690.0
22073,Ouachita Parish,LA,54.3,115634.0
29183,St. Charles County,MO,69.6,309726.0
51620,Franklin city,VA,0.0,5897.0
40039,Custer County,OK,57.6,21817.0
40117,Pawnee County,OK,58.6,12550.0
31121,Merrick County,NE,50.8,6015.0
49037,San Juan County,UT,72.9,10822.0
19171,Tama County,IA,73.5,12809.0
21235,Whitley County,KY,54.2,27093.0
40121,Pittsburg County,OK,53.1,33909.0
51109,Louisa County,VA,48.8,30050.0
20113,McPherson County,KS,65.1,22058.0
01107,Pickens County,AL,56.5,16066.0
22053,Jefferson Davis Parish,LA,45.8,23381.0
42069,Lackawanna County,PA,77.4,166709.0
30073,Pondera County,MT,64.1,4478.0
50027,Windsor County,VT,54.6,45228.0
45087,Union County,SC,49.2,21513.0
18163,Vanderburgh County,IN,66.6,142385.0
42037,Columbia County,PA,67.5,53571.0
13297,Walton County,GA,49.9,71492.0
45013,Beaufort County,SC,73.1,157061.0
31149,Rock County,NE,43.1,1068.0
46123,Tripp County,SD,55.2,4159.0
21041,Carroll County,KY,56.5,7893.0
39003,Allen County,OH,52.2,78859.0
26045,Eaton County,MI,65.0,87545.0
29049,Clinton County,MO,55.3,15648.0
51185,Tazewell County,VA,49.7,32756.0
51165,Rockingham County,VA,50.8,64120.0
48381,Randall County,TX,55.5,104801.0
72054,Florida Municipio,PR,90.6,9149.0
47013,Campbell County,TN,51.0,31754.0
01081,Lee County,AL,45.8,129821.0
30029,Flathead County,MT,48.9,81238.0
13291,Union County,GA,51.4,20737.0
20197,Wabaunsee County,KS,55.6,5339.0
27169,Winona County,MN,69.7,41513.0
36067,Onondaga County,NY,81.6,363436.0
13043,Candler County,GA,52.0,8107.0
18171,Warren County,IN,53.9,6429.0
48129,Donley County,TX,40.7,2643.0
30043,Jefferson County,MT,57.3,9732.0
28003,Alcorn County,MS,46.3,28644.0
55041,Forest County,WI,68.9,7230.0
22021,Caldwell Parish,LA,46.7,7645.0
20001,Allen County,KS,54.0,9628.0
40025,Cimarron County,OK,40.9,1591.0
12097,Osceola County,FL,83.2,285151.0
08057,Jackson County,CO,50.9,1159.0
31041,Custer County,NE,47.0,8177.0
36043,Herkimer County,NY,66.6,48793.0
41055,Sherman County,OR,67.1,1443.0
45059,Laurens County,SC,45.7,52715.0
31029,Chase County,NE,40.9,2952.0
48327,Menard County,TX,60.8,1752.0
08119,Teller County,CO,60.3,21098.0
35053,Socorro County,NM,76.8,12945.0
29031,Cape Girardeau County,MO,56.7,62050.0
51145,Powhatan County,VA,44.7,24280.0
26071,Iron County,MI,64.7,9210.0
38069,Pierce County,ND,53.6,3070.0
18007,Benton County,IN,50.6,6557.0
50007,Chittenden County,VT,77.4,135236.0
48355,Nueces County,TX,66.5,274235.0
49015,Emery County,UT,57.2,7168.0
49047,Uintah County,UT,52.5,23981.0
39017,Butler County,OH,65.1,293993.0
26023,Branch County,MI,54.1,33521.0
42035,Clinton County,PA,51.3,30943.0
05147,Woodruff County,AR,65.7,4968.0
22069,Natchitoches Parish,LA,51.3,29337.0
27137,St. Louis County,MN,72.9,161450.0
13281,Towns County,GA,53.8,10505.0
02180,Nome Census Area,AK,83.7,6544.0
21129,Lee County,KY,55.6,6034.0
21217,Taylor County,KY,56.7,19994.0
20209,Wyandotte County,KS,65.9,119705.0
20009,Barton County,KS,51.9,19708.0
