FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
45027,Clarendon County,SC,52.0,27368.0
26021,Berrien County,MI,64.0,120265.0
22093,St. James Parish,LA,59.6,16267.0
17079,Jasper County,IL,50.7,7381.0
01099,Monroe County,AL,49.8,16360.0
18061,Harrison County,IN,58.3,31495.0
55063,La Crosse County,WI,73.6,94882.0
19037,Chickasaw County,IA,65.2,9143.0
27143,Sibley County,MN,56.0,11450.0
20113,McPherson County,KS,64.3,22058.0
35037,Quay County,NM,56.6,6488.0
19131,Mitchell County,IA,57.9,8077.0
01023,Choctaw County,AL,75.1,10109.0
27169,Winona County,MN,68.7,41513.0
48021,Bastrop County,TX,66.4,66216.0
26057,Gratiot County,MI,52.2,32861.0
72065,Hatillo Municipio,PR,71.3,32504.0
18005,Bartholomew County,IN,67.6,63900.0
55095,Polk County,WI,57.8,34771.0
20205,Wilson County,KS,52.1,6480.0
21003,Allen County,KY,46.4,16412.0
13283,Treutlen County,GA,21.9,5329.0
72009,Aibonito Municipio,PR,92.2,18166.0
37011,Avery County,NC,58.4,14969.0
54029,Hancock County,WV,74.9,23350.0
54079,Putnam County,WV,65.9,44070.0
54089,Summers County,WV,68.1,10547.0
54005,Boone County,WV,54.2,17009.0
20031,Coffey County,KS,61.7,6392.0
31169,Thayer County,NE,56.5,3838.0
46023,Charles Mix County,SD,66.1,6520.0
47135,Perry County,TN,48.2,6283.0
22043,Grant Parish,LA,49.2,17699.0
29007,Audrain County,MO,44.1,19666.0
55035,Eau Claire County,WI,67.4,83560.0
54049,Marion County,WV,63.6,44850.0
29025,Caldwell County,MO,46.0,6923.0
51840,Winchester city,VA,51.6,21768.0
22099,St. Martin Parish,LA,47.2,40686.0
35007,Colfax County,NM,68.6,9803.0
18019,Clark County,IN,68.6,91874.0
41015,Curry County,OR,60.0,19678.0
23007,Franklin County,ME,69.0,24862.0
37163,Sampson County,NC,60.2,48081.0
47073,Hawkins County,TN,50.6,45701.0
48041,Brazos County,TX,57.1,181925.0
16085,Valley County,ID,67.0,9310.0
22081,Red River Parish,LA,42.5,6469.0
01043,Cullman County,AL,45.3,64956.0
04012,La Paz County,AZ,51.2,17602.0
18115,Ohio County,IN,87.0,4720.0
39087,Lawrence County,OH,55.5,46614.0
27109,Olmsted County,MN,85.0,119603.0
48385,Real County,TX,55.8,2885.0
06003,Alpine County,CA,0.0,929.0
56023,Lincoln County,WY,50.7,14600.0
27025,Chisago County,MN,65.0,43741.0
42063,Indiana County,PA,50.5,69004.0
08017,Cheyenne County,CO,41.2,1367.0
13059,Clarke County,GA,28.2,106329.0
48165,Gaines County,TX,30.4,13730.0
19113,Linn County,IA,74.4,174467.0
55137,Waushara County,WI,49.7,19983.0
51171,Shenandoah County,VA,56.4,34452.0
36077,Otsego County,NY,64.3,50138.0
39127,Perry County,OH,48.4,27651.0
34039,Union County,NJ,77.3,426483.0
48311,McMullen County,TX,52.0,596.0
55103,Richland County,WI,66.0,13513.0
31137,Phelps County,NE,46.3,6904.0
38047,Logan County,ND,45.8,1433.0
17169,Schuyler County,IL,56.4,5535.0
27009,Benton County,MN,48.2,30493.0
29099,Jefferson County,MO,50.6,173549.0
13219,Oconee County,GA,36.0,29670.0
29107,Lafayette County,MO,53.3,25177.0
23001,Androscoggin County,ME,77.3,84964.0
34017,Hudson County,NJ,82.3,535676.0
05081,Little River County,AR,46.3,9507.0
40131,Rogers County,OK,53.9,71089.0
19063,Emmet County,IA,59.6,7337.0
48367,Parker County,TX,53.7,107546.0
37037,Chatham County,NC,62.4,59661.0
31011,Boone County,NE,59.4,3989.0
20135,Ness County,KS,59.5,2181.0
13313,Whitfield County,GA,29.9,77675.0
21111,Jefferson County,KY,71.0,598182.0
56009,Converse County,WY,40.3,10448.0
36017,Chenango County,NY,68.5,37490.0
37033,Caswell County,NC,56.5,18383.0
17117,Macoupin County,IL,61.8,35457.0
18017,Cass County,IN,52.8,29067.0
12057,Hillsborough County,FL,69.3,1146730.0
37175,Transylvania County,NC,59.2,29099.0
40139,Texas County,OK,54.5,14339.0
29159,Pettis County,MO,51.0,31898.0
54099,Wayne County,WV,60.5,31468.0
28023,Clarke County,MS,66.1,12133.0
38079,Rolette County,ND,77.9,9401.0
42061,Huntingdon County,PA,56.8,37218.0
16087,Washington County,ID,47.7,7888.0
16055,Kootenai County,ID,52.8,128218.0
38059,Morton County,ND,53.7,24114.0
17033,Crawford County,IL,55.6,14965.0
05041,Desha County,AR,68.7,8491.0
30065,Musselshell County,MT,39.5,3778.0
17067,Hancock County,IL,55.2,14009.0
44007,Providence County,RI,76.3,508057.0
29217,Vernon County,MO,41.8,15714.0
37121,Mitchell County,NC,56.0,12229.0
16027,Canyon County,ID,54.4,165731.0
51710,Norfolk city,VA,59.9,195725.0
53071,Walla Walla County,WA,70.3,48202.0
04027,Yuma County,AZ,75.5,160218.0
