FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
51071,Giles County,VA,54.5,13311.0
12057,Hillsborough County,FL,74.3,1146730.0
06005,Amador County,CA,61.1,33742.0
47145,Roane County,TN,52.8,43445.0
26049,Genesee County,MI,61.0,315340.0
53023,Garfield County,WA,46.5,1758.0
72077,Juncos Municipio,PR,83.7,30585.0
20177,Shawnee County,KS,73.2,135735.0
35033,Mora County,NM,72.1,3740.0
19003,Adams County,IA,68.1,2848.0
16057,Latah County,ID,68.4,32723.0
26045,Eaton County,MI,66.6,87545.0
49057,Weber County,UT,75.0,187766.0
22013,Bienville Parish,LA,62.4,10299.0
05063,Independence County,AR,53.9,28564.0
51063,Floyd County,VA,45.2,12702.0
39145,Scioto County,OH,61.4,59037.0
42119,Union County,PA,65.6,37006.0
20131,Nemaha County,KS,69.2,7468.0
12047,Hamilton County,FL,41.4,11684.0
05003,Ashley County,AR,60.6,15259.0
13261,Sumter County,GA,63.1,22842.0
21117,Kenton County,KY,73.0,127578.0
29141,Morgan County,MO,47.3,15851.0
19175,Union County,IA,62.3,9514.0
01083,Limestone County,AL,47.7,76842.0
25025,Suffolk County,MA,81.3,672370.0
01011,Bullock County,AL,64.3,7995.0
53017,Douglas County,WA,75.4,32246.0
01061,Geneva County,AL,50.4,20504.0
47069,Hardeman County,TN,55.7,20280.0
08117,Summit County,CO,94.2,25982.0
26007,Alpena County,MI,66.1,23091.0
06039,Madera County,CA,65.6,114178.0
27047,Freeborn County,MN,68.3,23667.0
48069,Castro County,TX,54.9,5371.0
36119,Westchester County,NY,92.5,757224.0
01013,Butler County,AL,48.2,15174.0
12121,Suwannee County,FL,46.9,35076.0
13009,Baldwin County,GA,51.4,36602.0
55101,Racine County,WI,72.7,151411.0
16063,Lincoln County,ID,53.5,3898.0
51149,Prince George County,VA,63.5,29911.0
51061,Fauquier County,VA,75.4,54770.0
13205,Mitchell County,GA,58.8,16956.0
35017,Grant County,NM,79.7,21758.0
48503,Young County,TX,51.4,13749.0
72041,Cidra Municipio,PR,84.9,31103.0
47003,Bedford County,TN,55.0,37108.0
21063,Elliott County,KY,41.2,6183.0
16065,Madison County,ID,70.3,29212.0
05079,Lincoln County,AR,40.3,10905.0
28149,Warren County,MS,69.5,34677.0
54023,Grant County,WV,54.7,9324.0
17151,Pope County,IL,39.6,3677.0
42125,Washington County,PA,74.1,166709.0
08041,El Paso County,CO,77.8,548773.0
21151,Madison County,KY,55.8,73793.0
29021,Buchanan County,MO,47.2,67817.0
39079,Jackson County,OH,59.2,24669.0
05095,Monroe County,AR,68.1,5328.0
29083,Henry County,MO,56.2,17065.0
40073,Kingfisher County,OK,61.6,11551.0
39013,Belmont County,OH,58.0,54437.0
20153,Rawlins County,KS,52.8,1979.0
55045,Green County,WI,73.5,28803.0
53019,Ferry County,WA,63.2,6373.0
39039,Defiance County,OH,60.5,29447.0
47039,Decatur County,TN,47.0,9251.0
55099,Price County,WI,71.9,10955.0
16021,Boundary County,ID,44.2,9429.0
48001,Anderson County,TX,47.2,46755.0
26139,Ottawa County,MI,68.9,222551.0
37149,Polk County,NC,51.0,17478.0
17173,Shelby County,IL,51.6,17073.0
06055,Napa County,CA,86.9,109947.0
22089,St. Charles Parish,LA,68.5,40257.0
45029,Colleton County,SC,59.4,29218.0
35005,Chaves County,NM,56.1,47845.0
27123,Ramsey County,MN,82.1,422368.0
21179,Nelson County,KY,63.3,35392.0
31031,Cherry County,NE,43.8,4352.0
02013,Aleutians East Borough,AK,74.8,3084.0
37177,Tyrrell County,NC,56.8,3288.0
29061,Daviess County,MO,42.8,6177.0
18137,Ripley County,IN,60.8,21705.0
48007,Aransas County,TX,65.6,19341.0
17199,Williamson County,IL,66.7,52143.0
46105,Perkins County,SD,40.0,2271.0
30051,Liberty County,MT,41.1,1864.0
