FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
16021,Boundary County,ID,43.7,9429.0
47065,Hamilton County,TN,65.7,291847.0
42097,Northumberland County,PA,68.1,73081.0
35013,Dona Ana County,NM,87.5,165267.0
18017,Cass County,IN,57.0,29067.0
51730,Petersburg city,VA,43.8,24275.0
19181,Warren County,IA,70.9,38790.0
29205,Shelby County,MO,59.4,4498.0
19135,Monroe County,IA,57.4,5936.0
21183,Ohio County,KY,49.5,18161.0
26045,Eaton County,MI,66.3,87545.0
47181,Wayne County,TN,47.4,13899.0
31129,Nuckolls County,NE,60.1,3334.0
30053,Lincoln County,MT,41.6,16403.0
26019,Benzie County,MI,72.4,14621.0
13305,Wayne County,GA,53.7,22665.0
72009,Aibonito Municipio,PR,95.0,18166.0
20043,Doniphan County,KS,58.2,6008.0
28079,Leake County,MS,59.8,16984.0
13151,Henry County,GA,54.6,175285.0
48177,Gonzales County,TX,64.5,15272.0
37029,Camden County,NC,75.3,8407.0
34009,Cape May County,NJ,84.5,76089.0
54063,Monroe County,WV,57.2,10695.0
20067,Grant County,KS,60.7,5017.0
08019,Clear Creek County,CO,53.8,8238.0
29157,Perry County,MO,49.4,14740.0
49029,Morgan County,UT,69.6,7927.0
47183,Weakley County,TN,45.8,26917.0
26143,Roscommon County,MI,64.2,20473.0
29107,Lafayette County,MO,55.6,25177.0
31009,Blaine County,NE,30.6,379.0
49011,Davis County,UT,80.8,242674.0
47109,McNairy County,TN,58.9,20152.0
42035,Clinton County,PA,53.6,30943.0
54017,Doddridge County,WV,66.6,7197.0
22101,St. Mary Parish,LA,56.0,37551.0
47051,Franklin County,TN,49.8,33862.0
55047,Green Lake County,WI,67.4,14772.0
27147,Steele County,MN,71.9,27631.0
48395,Robertson County,TX,55.0,13074.0
02220,Sitka City and Borough,AK,87.4,6740.0
20197,Wabaunsee County,KS,57.3,5339.0
54031,Hardy County,WV,66.8,10951.0
42075,Lebanon County,PA,67.3,109639.0
48385,Real County,TX,59.0,2885.0
18149,Starke County,IN,46.7,17811.0
11001,District of Columbia,DC,80.3,577581.0
21223,Trimble County,KY,52.0,6628.0
26047,Emmet County,MI,83.0,27161.0
53041,Lewis County,WA,61.0,63499.0
28035,Forrest County,MS,52.8,57524.0
26127,Oceana County,MI,66.2,20556.0
48453,Travis County,TX,79.6,1003575.0
21209,Scott County,KY,66.1,42718.0
47113,Madison County,TN,65.5,76137.0
13205,Mitchell County,GA,57.9,16956.0
12111,St. Lucie County,FL,68.0,264186.0
48015,Austin County,TX,59.2,22872.0
30009,Carbon County,MT,54.7,8905.0
16087,Washington County,ID,49.6,7888.0
27151,Swift County,MN,68.5,7112.0
55107,Rusk County,WI,49.1,11295.0
13225,Peach County,GA,54.3,21821.0
29213,Taney County,MO,48.3,44243.0
13095,Dougherty County,GA,59.4,67169.0
17027,Clinton County,IL,69.8,29653.0
28041,Greene County,MS,44.4,10966.0
08111,San Juan County,CO,95.0,637.0
47121,Meigs County,TN,82.5,9936.0
30105,Valley County,MT,57.6,5726.0
26079,Kalkaska County,MI,56.1,14343.0
49019,Grand County,UT,80.8,7655.0
01091,Marengo County,AL,65.9,14616.0
48437,Swisher County,TX,52.8,5573.0
21105,Hickman County,KY,43.8,3577.0
20079,Harvey County,KS,56.6,26160.0
29045,Clark County,MO,38.9,5270.0
24013,Carroll County,MD,81.8,132087.0
13315,Wilcox County,GA,42.9,6998.0
13039,Camden County,GA,69.1,41483.0
05017,Chicot County,AR,65.8,7901.0
54083,Randolph County,WV,63.7,23266.0
27093,Meeker County,MN,58.4,17619.0
51790,Staunton city,VA,55.0,20109.0
20027,Clay County,KS,73.0,6132.0
33003,Carroll County,NH,81.8,41415.0
51029,Buckingham County,VA,45.3,14117.0
48067,Cass County,TX,44.7,23363.0
42121,Venango County,PA,53.7,40992.0
47137,Pickett County,TN,52.8,4185.0
26059,Hillsdale County,MI,47.4,35791.0
02013,Aleutians East Borough,AK,74.4,3084.0
48489,Willacy County,TX,77.3,16343.0
48287,Lee County,TX,57.4,13492.0
53055,San Juan County,WA,86.5,15353.0
29031,Cape Girardeau County,MO,58.6,62050.0
01001,Autauga County,AL,52.6,42904.0
51035,Carroll County,VA,38.8,24490.0
37081,Guilford County,NC,74.3,418240.0
32013,Humboldt County,NV,53.9,12311.0
20059,Franklin County,KS,62.8,19502.0
28077,Lawrence County,MS,68.3,9483.0
46069,Hyde County,SD,65.5,1021.0
47189,Wilson County,TN,63.5,110755.0
42123,Warren County,PA,58.3,31628.0
39049,Franklin County,OH,74.3,1011349.0
19195,Worth County,IA,61.7,5851.0
22117,Washington Parish,LA,52.4,35181.0
20181,Sherman County,KS,54.8,4449.0
21231,Wayne County,KY,50.3,16211.0
45085,Sumter County,SC,69.1,81359.0
54049,Marion County,WV,66.0,44850.0
32003,Clark County,NV,68.4,1745917.0
48205,Hartley County,TX,59.6,4412.0
55029,Door County,WI,88.0,23171.0
18027,Daviess County,IN,45.3,23504.0
51063,Floyd County,VA,45.0,12702.0
20137,Norton County,KS,63.3,4357.0
01123,Tallapoosa County,AL,46.5,32134.0
54015,Clay County,WV,66.2,6623.0
