FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
35057,Torrance County,NM,55.3,12333.0
37103,Jones County,NC,62.6,7704.0
13005,Bacon County,GA,39.8,8331.0
40149,Washita County,OK,49.0,8243.0
06089,Shasta County,CA,59.5,141263.0
17055,Franklin County,IL,54.6,29993.0
55035,Eau Claire County,WI,69.0,83560.0
39011,Auglaize County,OH,49.6,34708.0
19063,Emmet County,IA,61.9,7337.0
31145,Red Willow County,NE,45.0,8346.0
21105,Hickman County,KY,43.5,3577.0
32027,Pershing County,NV,41.3,5635.0
47099,Lawrence County,TN,46.6,33151.0
55125,Vilas County,WI,75.5,18449.0
31169,Thayer County,NE,58.5,3838.0
48467,Van Zandt County,TX,47.3,43587.0
72117,Rincon Municipio,PR,80.5,11516.0
39067,Harrison County,OH,52.0,11932.0
28049,Hinds County,MS,68.0,176521.0
13021,Bibb County,GA,55.6,116041.0
28019,Choctaw County,MS,42.9,6455.0
21135,Lewis County,KY,47.0,10366.0
39055,Geauga County,OH,71.4,72542.0
47087,Jackson County,TN,41.0,9689.0
28137,Tate County,MS,53.6,21909.0
26085,Lake County,MI,74.6,9901.0
29123,Madison County,MO,49.0,9307.0
30047,Lake County,MT,68.2,23376.0
12071,Lee County,FL,70.7,637068.0
08041,El Paso County,CO,76.0,548773.0
29013,Bates County,MO,47.6,12452.0
47027,Clay County,TN,36.2,6093.0
35039,Rio Arriba County,NM,89.3,29944.0
19035,Cherokee County,IA,64.5,8806.0
45003,Aiken County,SC,53.6,134333.0
08009,Baca County,CO,48.5,2785.0
48123,DeWitt County,TX,56.1,15632.0
29157,Perry County,MO,49.2,14740.0
29075,Gentry County,MO,54.3,4924.0
20067,Grant County,KS,60.2,5017.0
05105,Perry County,AR,61.2,8097.0
38085,Sioux County,ND,69.9,2716.0
19097,Jackson County,IA,63.8,15141.0
19133,Monona County,IA,65.4,6713.0
54105,Wirt County,WV,58.0,4581.0
28067,Jones County,MS,54.1,51067.0
47153,Sequatchie County,TN,42.0,11925.0
02100,Haines Borough,AK,77.5,2074.0
48089,Colorado County,TX,65.0,16553.0
37019,Brunswick County,NC,71.1,121795.0
26101,Manistee County,MI,68.2,20341.0
42065,Jefferson County,PA,58.6,34209.0
38047,Logan County,ND,46.6,1433.0
17121,Marion County,IL,56.7,28576.0
20009,Barton County,KS,53.2,19708.0
13261,Sumter County,GA,61.9,22842.0
55005,Barron County,WI,63.7,35535.0
55051,Iron County,WI,73.9,4831.0
05023,Cleburne County,AR,52.0,20222.0
72029,Canovanas Municipio,PR,83.5,36116.0
51017,Bath County,VA,49.7,3520.0
51133,Northumberland County,VA,61.3,10340.0
53001,Adams County,WA,82.7,12814.0
37071,Gaston County,NC,60.2,174276.0
19095,Iowa County,IA,74.6,12413.0
30055,McCone County,MT,21.7,1313.0
51181,Surry County,VA,61.8,5359.0
47025,Claiborne County,TN,55.4,25856.0
38041,Hettinger County,ND,50.8,1871.0
48109,Culberson County,TX,63.1,1685.0
41005,Clackamas County,OR,76.7,329370.0
51590,Danville city,VA,41.7,31397.0
47113,Madison County,TN,65.1,76137.0
20007,Barber County,KS,58.9,3401.0
51063,Floyd County,VA,44.9,12702.0
51089,Henry County,VA,46.2,40871.0
28131,Stone County,MS,55.6,14382.0
31087,Hitchcock County,NE,42.5,2135.0
55045,Green County,WI,72.9,28803.0
13059,Clarke County,GA,51.5,106329.0
17015,Carroll County,IL,77.3,11549.0
48203,Harrison County,TX,51.3,49967.0
05113,Polk County,AR,43.5,15424.0
29217,Vernon County,MO,43.4,15714.0
23027,Waldo County,ME,80.0,32498.0
13303,Washington County,GA,52.2,15977.0
30091,Sheridan County,MT,58.6,2619.0
12035,Flagler County,FL,72.2,95954.0
56017,Hot Springs County,WY,59.6,3506.0
49045,Tooele County,UT,72.5,49027.0
51043,Clarke County,VA,72.8,11764.0
23019,Penobscot County,ME,79.2,124749.0
48021,Bastrop County,TX,70.2,66216.0
31185,York County,NE,62.9,10502.0
41019,Douglas County,OR,62.1,89613.0
13185,Lowndes County,GA,48.7,89086.0
22049,Jackson Parish,LA,52.3,12336.0
29071,Franklin County,MO,64.8,80409.0
41015,Curry County,OR,62.3,19678.0
12057,Hillsborough County,FL,72.8,1146730.0
54001,Barbour County,WV,57.7,13194.0
13063,Clayton County,GA,53.8,211634.0
55101,Racine County,WI,71.6,151411.0
27171,Wright County,MN,66.3,100015.0
26001,Alcona County,MI,64.9,9092.0
51081,Greensville County,VA,42.2,9475.0
10001,Kent County,DE,65.8,139553.0
04025,Yavapai County,AZ,53.3,197624.0
20193,Thomas County,KS,51.3,5952.0
09005,Litchfield County,CT,83.5,147960.0
20059,Franklin County,KS,61.6,19502.0
55011,Buffalo County,WI,57.7,10366.0
25011,Franklin County,MA,73.8,58196.0
36015,Chemung County,NY,68.6,65773.0
31019,Buffalo County,NE,48.8,38080.0
48305,Lynn County,TX,51.0,4329.0
19141,O'Brien County,IA,62.8,10467.0
21033,Caldwell County,KY,64.0,9890.0
21219,Todd County,KY,54.4,9037.0
19011,Benton County,IA,69.2,19698.0
51091,Highland County,VA,66.4,1898.0
45085,Sumter County,SC,68.7,81359.0
28117,Prentiss County,MS,52.6,19503.0
39119,Muskingum County,OH,58.7,66777.0
48001,Anderson County,TX,47.4,46755.0
37093,Hoke County,NC,49.9,40282.0
31031,Cherry County,NE,43.0,4352.0
51810,Virginia Beach city,VA,72.5,351000.0
19181,Warren County,IA,70.5,38790.0
56015,Goshen County,WY,47.5,10619.0
22005,Ascension Parish,LA,62.6,92983.0
21171,Monroe County,KY,56.8,8234.0
02164,Lake and Peninsula Borough,AK,66.9,1136.0
28025,Clay County,MS,55.8,14994.0
30075,Powder River County,MT,26.8,1399.0
54069,Ohio County,WV,76.1,33476.0
27151,Swift County,MN,68.1,7112.0
48429,Stephens County,TX,46.0,7309.0
13039,Camden County,GA,69.5,41483.0
40059,Harper County,OK,55.5,2745.0
35059,Union County,NM,52.1,3299.0
12061,Indian River County,FL,75.9,134897.0
39169,Wayne County,OH,55.7,87730.0
40087,McClain County,OK,59.7,30150.0
27103,Nicollet County,MN,69.9,26751.0
21145,McCracken County,KY,66.8,50902.0
19101,Jefferson County,IA,53.4,15472.0
21235,Whitley County,KY,55.6,27093.0
42109,Snyder County,PA,51.2,32022.0
21121,Knox County,KY,45.0,23951.0
42105,Potter County,PA,44.6,13183.0
36099,Seneca County,NY,60.6,27227.0
51630,Fredericksburg city,VA,48.2,22883.0
48015,Austin County,TX,58.7,22872.0
17025,Clay County,IL,47.9,10200.0
54009,Brooke County,WV,57.8,18116.0
01015,Calhoun County,AL,56.6,89132.0
31063,Frontier County,NE,33.0,2122.0
27025,Chisago County,MN,67.5,43741.0
40111,Okmulgee County,OK,52.2,29477.0
22113,Vermilion Parish,LA,47.9,44521.0
45073,Oconee County,SC,52.9,63765.0
